"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Kidney|Urine|Midazolam|Fraction excreted to urine","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Liver|Periportal|Intracellular|Midazolam-CYP3A4-Optimized Metabolite|Fraction of dose-Midazolam","Organism|Liver|Periportal|Intracellular|Midazolam-UGT1A4-Optimized Metabolite|Fraction of dose-Midazolam"
0,960,0.0004046003,0.000274836,0.0003670941,0.001375364,1,0.4132623,0.009629275
0,975,0.0003877714,0.000263409,0.0003525519,0.001376716,1,0.4135063,0.009634958
0,990,0.0003719141,0.0002526417,0.0003388274,0.001378016,1,0.4137406,0.009640417
0,1005,0.0003569635,0.0002424899,0.0003258664,0.001379265,1,0.4139659,0.009645665
0,1020,0.0003428619,0.0002329144,0.0003136208,0.001380467,1,0.4141826,0.009650713
0,1035,0.000329552,0.0002238763,0.0003020429,0.001381624,1,0.4143912,0.009655572
0,1050,0.0003169818,0.0002153405,0.0002910893,0.001382739,1,0.4145921,0.009660253
0,1065,0.000305104,0.0002072748,0.0002807205,0.001383814,1,0.4147858,0.009664766
0,1080,0.0002938733,0.0001996483,0.0002708987,0.001384851,1,0.4149727,0.009669118
0,1095,0.0002832476,0.0001924326,0.0002615888,0.001385851,1,0.415153,0.009673319
0,1110,0.0002731885,0.0001856016,0.0002527586,0.001386818,1,0.4153272,0.009677376
0,1125,0.0002636593,0.0001791302,0.0002443776,0.001387752,1,0.4154955,0.009681297
0,1140,0.0002546262,0.0001729957,0.0002364174,0.001388656,1,0.4156583,0.009685089
0,1155,0.0002460578,0.0001671767,0.0002288519,0.00138953,1,0.4158157,0.009688757
0,1170,0.0002379243,0.0001616529,0.000221656,0.001390377,1,0.4159682,0.009692309
0,1185,0.0002301984,0.0001564059,0.000214807,0.001391197,1,0.4161159,0.009695751
0,1200,0.0002228548,0.0001514185,0.0002082837,0.001391992,1,0.4162591,0.009699086
0,1215,0.0002158691,0.000146674,0.0002020657,0.001392763,1,0.4163979,0.009702319
0,1230,0.0002092196,0.0001421577,0.0001961347,0.001393511,1,0.4165326,0.009705458
0,1245,0.0002028853,0.0001378556,0.0001904733,0.001394238,1,0.4166634,0.009708504
0,1260,0.0001968469,0.0001337543,0.0001850651,0.001394943,1,0.4167905,0.009711463
0,1275,0.0001910866,0.0001298418,0.0001798952,0.001395629,1,0.4169139,0.009714339
0,1290,0.0001855876,0.0001261067,0.0001749496,0.001396296,1,0.4170339,0.009717134
0,1305,0.000180334,0.0001225382,0.0001702149,0.001396944,1,0.4171506,0.009719853
0,1320,0.0001753114,0.0001191266,0.0001656792,0.001397575,1,0.4172642,0.009722499
0,1335,0.0001705061,0.0001158626,0.0001613307,0.00139819,1,0.4173747,0.009725074
0,1350,0.0001659053,0.0001127374,0.0001571586,0.001398788,1,0.4174824,0.009727582
0,1365,0.0001614973,0.0001097431,0.0001531533,0.001399371,1,0.4175873,0.009730026
0,1380,0.0001572708,0.000106872,0.0001493052,0.001399939,1,0.4176895,0.009732408
0,1395,0.0001532154,0.0001041171,0.0001456054,0.001400493,1,0.4177892,0.00973473
0,1410,0.0001493215,0.0001014719,0.000142046,0.001401034,1,0.4178864,0.009736994
0,1425,0.00014558,9.89302E-05,0.0001386191,0.001401561,1,0.4179813,0.009739204
0,1440,0.0001419823,9.648612E-05,0.0001353176,0.001402076,1,0.4180739,0.00974136
