"IndividualId","Time [min]","Organism|Kidney|Urine|Rifampicin [µmol]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,450,58.99024,3.271921,3.257205,0
0,465,59.96142,3.115527,3.100977,0
0,480,60.88648,2.968518,2.95406,0
0,495,61.76811,2.830106,2.81566,0
0,510,62.60883,2.699759,2.685367,0
0,525,63.41096,2.576769,2.562187,0
0,540,64.17664,2.46058,2.446021,0
0,555,64.90788,2.350887,2.336111,0
0,570,65.60655,2.247063,2.232162,0
0,585,66.27437,2.148799,2.133741,0
0,600,66.91299,2.055832,2.040694,0
0,615,67.52397,1.967784,1.952409,0
0,630,68.10872,1.884218,1.868758,0
0,645,68.6686,1.805076,1.789422,0
0,660,69.20489,1.729889,1.714072,0
0,675,69.71875,1.658555,1.642596,0
0,690,70.21136,1.590885,1.57479,0
0,705,70.68375,1.526549,1.510283,0
0,720,71.13695,1.465453,1.449076,0
0,735,71.5719,1.407421,1.390904,0
0,750,71.98952,1.352244,1.335608,0
0,765,72.39065,1.299791,1.283039,0
0,780,72.7761,1.249917,1.233055,0
0,795,73.14663,1.202484,1.18552,0
0,810,73.50297,1.157359,1.140301,0
0,825,73.8458,1.114421,1.097276,0
0,840,74.17579,1.073558,1.056335,0
0,855,74.49355,1.034663,1.017369,0
0,870,74.79967,0.9976332,0.9802746,0
0,885,75.0947,0.9623743,0.9449589,0
0,900,75.37919,0.9287965,0.9113307,0
0,915,75.65362,0.896813,0.8793035,0
0,930,75.91847,0.8663434,0.848797,0
0,945,76.1742,0.837311,0.8197335,0
0,960,76.42124,0.8096446,0.7920423,0
0,975,76.66,0.7832742,0.7656531,0
0,990,76.89085,0.7581347,0.7404999,0
0,1005,77.11418,0.734166,0.7165233,0
0,1020,77.33033,0.7113085,0.6936631,0
0,1035,77.53963,0.6895064,0.6718627,0
0,1050,77.74241,0.6687083,0.651072,0
0,1065,77.93896,0.648864,0.6312389,0
0,1080,78.12956,0.6299254,0.6123158,0
0,1095,78.3145,0.6118489,0.5942597,0
0,1110,78.49402,0.5945905,0.5770248,0
0,1125,78.66837,0.5781109,0.5605726,0
0,1140,78.8378,0.5623716,0.5448653,0
0,1155,79.00251,0.5473341,0.5298612,0
0,1170,79.16272,0.5329673,0.5155327,0
0,1185,79.31863,0.5192361,0.5018432,0
0,1200,79.47044,0.5061072,0.488756,0
0,1215,79.61832,0.4935543,0.4762506,0
0,1230,79.76245,0.4815484,0.4642943,0
0,1245,79.90298,0.4700626,0.4528596,0
0,1260,80.04009,0.4590736,0.4419256,0
0,1275,80.1739,0.4485528,0.4314598,0
0,1290,80.30458,0.4384789,0.4214431,0
0,1305,80.43225,0.4288327,0.411859,0
0,1320,80.55704,0.4195863,0.4026717,0
0,1335,80.67906,0.4107256,0.3938741,0
0,1350,80.79844,0.4022325,0.3854485,0
0,1365,80.91529,0.3940869,0.3773679,0
0,1380,81.02971,0.3862774,0.3696284,0
0,1395,81.14179,0.3787826,0.3622033,0
0,1410,81.25165,0.3715818,0.3550685,0
0,1425,81.35936,0.3646694,0.3482305,0
0,1440,81.46501,0.3580277,0.341662,0
